title,original_title,score,genre,year,description,cast,public,country,language,episode_duration,num_episodes,total_duration
Human Planet,,9.0,Documentary,2011,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,"John Hurt,Roger Munns",TV-PG,United Kingdom,English,50m,8,400
The Office,,9.0,Comedy,2005–2013,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Greg Daniels,Ricky Gervais,Stephen Merchant,Steve Carell,Jenna Fischer,John Krasinski",TV-14,United States,English,22m,188,4136
The Blue Planet,,9.0,Documentary,2001,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.","David Attenborough,Pierce Brosnan,Peter Scoones",TV-G,"United Kingdom,United States,Germany",English,6h 29m,8,389
Arcane,Original title: Arcane: League of Legends,9.0,"Animation,Action,Adventure",2021– ,"Set in Utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League Of Legends champions and the power that will tear them apart.","Hailee Steinfeld,Kevin Alejandro,Jason Spisak",TV-14,"United States,France",English,41m,10,410
Attack on Titan,Original title: Shingeki no Kyojin,9.0,"Animation,Action,Adventure",2013–2023,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Josh Grelle,Bryce Papenbrook,Yûki Kaji",TV-MA,Japan,Japanese,24m,98,2352
Scam 1992: The Harshad Mehta Story,,9.3,"Biography,Crime,Drama",2020,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.","Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher",TV-14,India,Hindi,54m,10,540
Batman: The Animated Series,,9.0,"Animation,Action,Adventure",1992–1995,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,"Bob Kane,Eric Radomski,Bruce Timm,Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.",TV-PG,United States,English,23m,85,1955
The Vietnam War,,9.1,"Documentary,History,War",2017,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,"Peter Coyote,Huy Duc,James Willbanks",TV-MA,United States,English,16h 30m,10,990
Bluey,,9.5,"Animation,Family",2018– ,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,"Joe Brumm,David McCormack,Melanie Zanetti,Rico Romaniuk",TV-Y,"Australia,United Kingdom",English,7m,169,1183
Sherlock,,9.1,"Crime,Drama,Mystery",2010–2017,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,"Mark Gatiss,Steven Moffat,Benedict Cumberbatch,Martin Freeman,Una Stubbs",TV-14,"United Kingdom,United States",English,1h 28m,15,88
The Twilight Zone,,9.1,"Drama,Fantasy,Horror",1959–1964,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.","Rod Serling,Rod Serling,Robert McCord,Jay Overholts",TV-PG,United States,English,51m,156,7956
